Name 	Vol. 	Place 	Date 	Reference 	Relationships 	Update 	Id
Διόδωρος 	V6	Tyre	187-188	IMnBeyrouth 306, 1; 	child of Νιθυμβαλος	2018-03-14 	
Διόδωρος 	V6	Tyre	190-210	IMnBeyrouth 310, 1; 		2018-03-14 	
Διόδωρος 	V6	Baithmare	P1_2A	IMnBeyrouth 367; 		2018-03-14 	
Διόδωρος 	V6	Ainkania	P3A	IGLS_VI 2986; &SEG LIX 1692, 5		2018-03-14 	
Διόδωρος 	V6	Ainkania	153-153	IGLS_XI 18, 4; 		2018-03-14 	
Διόδωρος 	V6	Gerasa	151-200	IGerasa 85; 		2018-03-14 	
Διόδωρος 	V6	Sidon	imperial	Berytus 56 (2016) p. 168 no. 40, 1; 		2018-03-14 	
Διόδωρος 	V6	Sidon	imperial	Berytus 56 (2016) p. 180 no. 86, 1; 	child of Ἀμάραντος	2018-03-14 	
Διόδωρος 	V6	Sidon	imperial	Berytus 56 (2016) p. 181 no. 90 a, 1; 		2018-03-14 	
Διόδωρος 	V6	Sidon,	P2-1B	ID 2396; 		2018-03-14 	
Διόδωρος 	V6	Sidon	imperial	Waddington_ISyrie 1866 b, 2; 		2018-03-14 	
Διόδωρος 	V6	Antiocheia,Kos	P2-3A	IG XII (4) 2424; 	child of Θεόδωρος	2018-03-14 	
Διόδωρος 	V6	Antiocheia,Kos	PF2B	IG XII (4) 552 I; 		2018-03-14 	
Διόδωρος 	V6	Nahariya--	442-443	SEG XXXVII 1512, 8; ; (CBCMPIPT 259)		2018-03-14 	
Διόδωρος 	V6	Nahariya--	490-490	SEG XXXVII 1517, 6; ; (CBCMPIPT 260)		2018-03-14 	
Διόδωρος 	V6	Laodikeia	P3-4A	Synaxarium col. 36. 3	child of Θεόκτιστος	2018-03-14 	
Διόδωρος 	V6	Heliopolis	P3A	SEG XXXVIII 1562, 4	child of Αδρος	2018-03-14 	
Διόδωρος 	V6	Larissa-Sizara-,Alexandria	157-157	KayserRecueil 102 I		2018-03-14 	
Διόδωρος 	V6	Gadara,Rome	imperial	IGUR 1675; (SEG XXX 1801)	child of Ἡλιόδωρος	2018-03-14 	
Διόδωρος 	V6	Syria	P1-2A	DainIGLouvre 84; (SEG VII 804)		2018-03-14 	
Διόδωρος 	V6	Doura-Europos	216-216	PDura 101 xv 15		2018-03-14 	
Διόδωρος 	V6	Syria	imperial	Coll_de_Clercq VII 3146		2018-03-14 	
Διόδωρος 	V6	Antioch	imperial	IGLS_III_1 916		2018-03-16 	
Διόδωρος 	V6	Antioch	imperial	IGLS_III_1 976		2018-03-19 	
Διόδωρος 	V6	Seleukeia	PF1B	IGLS_III_2 1187, 1		2018-03-20 	
Διόδωρος 	V6	Marisa	-173-2--163-2	SEG LX 1728		2018-04-03 	
Διόδωρος 	V6	Ioudaia-Palaistine	-129--128	SEG LXI 1466	child of Ἡλιόδωρος	2018-04-05 	
Διόκλεια 	V6	Apameia,	-199--1	EAD XXX 453; 	child of Διοκλῆς	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	P1-2A	TEAD 9 (1) p. 168 no. 937, 4	child of Δάνυμος,=? Διοκλῆς	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	87-87	PDura 18 recto 3-4, 6, 17, 19, 24	child of Δάνυμος,=? Διοκλῆς	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	133-134	PDura 22, 16	child of Δάνυμος	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	133-134	PDura 22, 16		2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	180-180	PDura 25, 3, 19	child of Ἡλιόδωρος	2018-03-14 	
Διοκλῆς 	V6	Syria	P4_5A	SEG LV 1698 D.3		2018-03-14 	
Διοκλῆς 	V6	Syria	-218--218	RE (35); GraingerSPG p. 88 no. 1		2018-03-14 	
Διοκλῆς 	V6	Tyre,Oropos	PS3B	IOrop 18; 	child of Νῖσος	2018-03-14 	
Διοκλῆς 	V6	Sidon,Rhodes	P1B-1A	NS 191; 		2018-03-14 	
Διοκλῆς 	V6	Syria,Korinth	PM3B	Plu +Arat. 18; 20; Polyaen vi 5	sibling of Ἐργῖνος	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	19-20	SEG VII 684, 1	child of Ζώης	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	35-36	SEG VII 688, 2	child of Ἀθηνόδωρος	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	60-61	SEG II 797, 1; &SEG VII 800	child of Ἀθηνόδωρος Κρατέας	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	imperial	SEG VII 642		2018-03-14 	
Διοκλῆς 	V6	Laodikeia	imperial	IGLS_IV 1256, 1	child of Θεόδοτος	2018-03-14 	
Διοκλῆς 	V6	Doura-Europos	63-63	TEAD 5 p. 187 no. 523, 2; TEAD 5 p. 188 no. 525, 2	child of Δάνυμος	2018-03-14 	
Διοκλῆς 	V6	Wādī Ḥajjāj	200-500	IWadi_Haggag 177; 		2018-03-14 	
Διοκλῆς 	V6	Ṣabḥa	100-600	IGLS_XXI_5 683; 	child of Αναμος	2018-03-14 	
Διοκλῆς 	V6	Kanatha	imperial	IGLS_XIII_2 9809; 		2018-03-14 	
Διοκλῆς 	V6	Adara	569-569	IMoab 201; 		2018-03-14 	
Διοκλῆς 	V6	Askalon-,Demetrias	P3B	ThessMnem 151		2018-03-14 	
Διοκλῆς 	V6	Laodikeia,	-199--1	IG II<2> 9183/4; FRA 3244		2018-03-14 	
Διοκλῆς 	V6	Apameia,	-199--1	EAD XXX 453; 		2018-03-14 	
Διοκλῆς 	V6	Hierapolis-Bambike,	-199--1	ID 2276; 		2018-03-14 	
Διοκλῆς 	V6	Hierapolis-Bambike,	-199--1	ID 2276; 	child of Διοκλῆς	2018-03-14 	
Διοκλῆς 	V6	Seleukeia,	PS2B	ID 2255; 		2018-03-14 	
Διοκλῆς 	V6	Berytos,	-125--100	ID 2629 A; 	child of Δημοκλῆς	2018-03-14 	
Διοκλῆς 	V6	Berytos,	-125--100	ID 2611 a; 	child of Νυμφόδωρος	2018-03-14 	
Διοκλῆς 	V6	Laodikeia,Rhodes	PF1B	ASAA NS 1-2 (1939-40) p. 168 no. 21 A III		2018-03-14 	
Διοκνα 	V6	Sidon	imperial	RevBibl NS 1 (1904) p. 398 no. 1, 1; 		2018-03-14 	
Διοκρίτας 	V6	Doura-Europos	imperial	SEG VII 670, 2	child of Ἐπίνικος	2018-03-14 	
Διόλυτος 	V6	Emesa	133-133	IGLS_V 2192, 4	child of Διόδαμος	2018-03-14 	
Διομέδων 	V6	Syria,Seleukeia-Ktesiphon-	-221--221	RE (2); GraingerSPG p. 88		2018-03-14 	
Διομήδης 	V6	Eitha-Ḥayṭ	imperial	SEG VII 992, 1; &SEG XLVI 2072		2018-03-14 	
Διομήδης 	V6	Doura-Europos	197-203	PDura 100 xvi 25		2018-03-14 	
Διομήδης 	V6	Adraa	imperial	IGLS_XIV_1 184, 3		2018-03-14 	
Διομήδης 	V6	Adraa	imperial	IGLS_XIV_1 184, 1	child of Διομήδης	2018-03-14 	
Διομήδης 	V6	Seleukeia,Mallos	P2B	Heberdey--WilhelmReiseninKilikien 16	child of Ἀσκληπιάδης	2018-03-14 	
Διομήδης 	V6	Zorava	300-599	(Gregg-Urman_Golan 219, 1); ; SEG XLVI 1978		2018-03-14 	
Διομήδης 	V6	Hegra	imperial	Jaussen_Savignac Nab. 290; 		2018-03-14 	
Διομήδης Δαρήϊος 	V6	Al Hayāt	P1A	AAES_III 362; 		2018-03-14 	
Διομήδης 	V6	Zorava	P2A	AAES_III 433; 	sibling of Ζηνόδωρος	2018-03-14 	
Διομήδης 	V6	Zorava	515-516	IGLS_XV_1 177; 		2018-03-14 	
Διομήδης 	V6	Dhībīn	100-600	Dussaud_Macler_Voyage p. 191 no. 71; 		2018-03-14 	
Διομήδης 	V6	Zorava	imperial	IGLS_XV_1 203; 	child of Οφρη	2018-03-14 	
Διομήδης 	V6	Adraa	P4A	IGLS_XIII_2 9773; 		2018-03-14 	
Διομήδης 	V6	Gerasa	197-211	IGerasa 151, 6; ; IGerasa 152, 4		2018-03-14 	
Διομήδης 	Egypt	Hermopolis-Schmun-Al Ashmunin	264-264	SB X 10299, 158		2018-03-14 	
Διομήδης 	Other	Eutimia-al-Ḥārrah,Eitha-Ḥayṭ	P1A	IGLS_XIV.2 486, 2; (SEG LXI 1492)	child of Χάρης	2018-04-05 	
Διομήδης 	V6	Rushaydah	imperial	OCIANA Greek WR.D 11		2018-03-14 	
Διομήδης 	V6	Doura-Europos	207-207	PDura 101 xiii 14		2018-03-14 	
Διομήδης 	V6	Soada-Dionysias	P2-3A	SEG VII 967		2018-03-14 	
Διομήδης 	V6	Doura-Europos	240-240	PDura 107 ii 18		2018-03-14 	
Διομήδης 	V6	Jathūm	P3A	SEG XVI 819, 2		2018-03-14 	
Διόνικος 	V6	Adraa	269-270	IGLS_XIV_1 18, 5		2018-03-14 	
Διόνικος 	V6	Antioch,Skythopolis-Beit She'an	-195--195	IEJ 16 (1966) pp. 58-60 V, 7; VI, 5; GraingerSPG p. 88; BE 1970, no. 627		2018-03-14 	
Διόνικος 	V6	Kanatha	imperial	IGLS_XIII_2 9817; 		2018-03-14 	
Διόνικος 	V6	Beth Govrin-Eleutheropolis	P1B	SEG VIII 262		2018-03-14 	
Διονυσία 	V6	Gabala	imperial	SEG LVI 1869, 5	spouse of Ζηνόδωρος	2018-03-14 	
Διονυσία 	V6	Adraa	imperial	IGLS_XIV_1 81		2018-03-14 	
Διονυσία 	V6	Sidon,Demetrias	PM2B	ThessMnem 66; 	child of Διονύσιος	2018-03-14 	
Διονυσία 	V6	Byblos	imperial	DunandFouillesdeByblos 1 p. 39 no. 1196, 1		2018-03-14 	
Διονυσία 	V6	Byblos	imperial	FroehnerInscrLouvre 278, 1; (Renan_Phénicie p. 184 no. 1)		2018-03-14 	
Διονυσία 	V6	Garaba	P3A	IBeth_Shearim 52; 	spouse of Ἰησοῦς	2018-03-14 	
Διονυσία 	V6	Sidon,	P1A	IG II<2> 10275/6; FRA 6672	child of Ἡρακλείδης	2018-03-14 	
Διονυσία 	V6	Ioppe,	hellenistic	SEG XXV 275; FRA 2618	child of Ἀλέξανδρος	2018-03-14 	
Διονυσία 	V6	Syria,	P2B	IG XII (1) 880; 		2018-03-14 	
Διονυσία 	V6	Phoenicia	imperial	IMnBeyrouth 423, 1; 	child of Χορίων	2018-03-14 	
Διονυσία 	V6	Phoenicia	byzantine	IMnBeyrouth 428, 2; 		2018-03-14 	
Διονυσία 	V6	Hierapolis-Bambike,	-128--127	ID 2226; 	child of Ἀχαιός	2018-03-14 	
Διονυσία 	V6	Birsama--	P5_6A	SEG XLVI 2006, 9; ; (CBCMPIPT 49)		2018-03-14 	
Διονυσία 	V6	Kaparearibou-Kafr Haruv	200-699	(Gregg-Urman_Golan 2); ; SEG XLVI 1946.1		2018-03-14 	
Διονυσία 	Other	Delphi	-139--122	FD III (1) 566; 	child of Σωστράτη	2018-03-14 	
Διονυσία 	V6	Kapronana,Salona-Solin-	P4_5A	ŠašelIL 2496		2018-03-14 	
Διονυσία 	V6	Antioch	imperial	IGLS_III_1 918		2018-03-16 	
Διονυσιόδωρος 	V6	Byblos	imperial	DunandFouillesdeByblos 2 p. 60 no. 7041, 1		2018-03-14 	
Διονυσιόδωρος 	V6	Byblos	imperial	MFOBeyrouth 1 (1906) p. 140 no. 13, 2		2018-03-14 	
Διονυσιόδωρος 	V6	Sidon	138-138	SEG L 1417, 1; 		2018-03-14 	
Διονυσιόδωρος 	V6	Seleukeia	imperial	IGLS_III_2 1116		2018-03-21 	
Διονυσιόδωρος 	V6	Antioch	imperial	IGLS_III_2 1242.20	child of Διονυσιόδωρος	2018-03-21 	
Διονυσιόδωρος 	V6	Antioch	imperial	IGLS_III_2 1242.20		2018-03-21 	
Διονύσιος 	V6	Gerasa,Pergamon	102-117	IPerg 437; 	child of Δημήτριος	2018-03-14 	
Διονύσιος 	V6	Sidon	P1-2A	MendelCat 34; RA 1901 (1) pp. 166-7		2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 b; 	child of Μέντωρ	2018-03-14 	
Διονύσιος 	V6	Sidon,	P2B	ID 2100; ; ID 2171; ID 2615		2018-03-14 	
Διονύσιος 	V6	Berytos	-151--150	Babelon--Blanchet 2250		2018-03-14 	
Διονύσιος 	V6	Tyre	528-528	SEG LV 1694, 5		2018-03-14 	
Διονύσιος 	V6	Doura-Europos	240-240	PDura 95a i 10		2018-03-14 	
Διονύσιος 	V6	Pella-Apameia	143-143	Coll_Apamée p. 98 no. 2, 3		2018-03-14 	
Διονύσιος 	V6	Paneas-Kaisareia-Banias-	P2B	SEG LIII 1819.4		2018-03-14 	
Διονύσιος 	V6	Balmarcodes-	imperial	Clermont_Ganneau_RAO I p. 103 no. 2, 1	child of Γοργίας	2018-03-14 	
Διονύσιος 	V6	Damaskos	P6_7A	PLRE III (5)		2018-03-14 	
Διονύσιος 	V6	Nessana--	P6-7A	PNess 90, 5, 24, 26, 32-3, 42, 52, 54, 57, 59, 62, 67, 77, 81, 85, 106, 107, 129, 134, 137, 160, 163, 167, 179, 186, 189, 196, 206; PNess 91, 4, 11		2018-03-14 	
Διονύσιος 	V6	Nessana--	P6-7A	PNess 90, 8, 18, 28, 30, 49, 64, 83, 94, 102, 105, 112, 157, 169		2018-03-14 	
Διονύσιος 	V6	Tyre	P3A	=FroehnerInscrLouvre 172; Philol 19 (1863) p. 136 no. 4		2018-03-14 	
Διονύσιος 	V6	Ibṭa‘	imperial	IGLS_XIV_1 365, 5		2018-03-14 	
Διονύσιος 	V6	Hermopolis-Schmun-Al Ashmunin	83-84	PFlor_III 386, col. 3, 44		2018-03-14 	
Διονύσιος 	V6	Arados,Demetrias	P3-2B	=Polemon 4 (1949-50) pp. 160-1 no. 294; PAE 1912, p. 187 no. 58	child of Ἀρτεμίδωρος	2018-03-14 	
Διονύσιος 	V6	Hermopolis-Schmun-Al Ashmunin	83-84	PFlor_III 386, col. 3, 31		2018-03-14 	
Διονύσιος 	V6	Syria,Sardis	-213--213	GraingerSPG p. 88 no. 2; Plb v 16. 2; 17. 3; 18. 1		2018-03-14 	
Διονύσιος 	V6	Antioch	-167--167	GraingerSPG p. 88 no. 3; Plb xxx 25. 16		2018-03-14 	
Διονύσιος 	V6	Media,Mesopotamia	-142--142	RE (71); DS xxxiii 28; GraingerSPG p. 88 no. 4		2018-03-14 	
Διονύσιος 	V6	Antiocheia,Kos	P2B	IG XII (4) 2490; 		2018-03-14 	
Διονύσιος 	V6	Berytos	P1B	Renan_Phénicie p. 349 no. 3		2018-03-14 	
Διονύσιος 	V6	Berytos,Delos	PF2B	ID 1773; ID 1775; ID 1778		2018-03-14 	
Διονύσιος 	V6	Laodikeia,Rhodes	P1B	ASAA 8-9 (1925-6) p. 322 no. 5		2018-03-14 	
Διονύσιος 	V6	Seleukeia,Aigiale	P1B-1A	IG XII (7) 392		2018-03-14 	
Διονύσιος 	V6	Tripolis,Telmessos	imperial	TAM II 80		2018-03-14 	
Διονύσιος 	V6	Tripolis,Telmessos	imperial	TAM II 80	child of Διονύσιος	2018-03-14 	
Διονύσιος 	V6	Sidon,Pharsalos	PS3B	IThess I 96 A; 		2018-03-14 	
Διονύσιος 	V6	Sidon,Pharsalos	P3_2B	IThess I 96 A; 	child of Διονύσιος	2018-03-14 	
Διονύσιος 	V6	Sidon,Delphi	PF3B	FD III (1) 435; 		2018-03-14 	
Διονύσιος 	V6	Sidon,Demetrias	PF2B	ThessMnem 66; 		2018-03-14 	
Διονύσιος 	V6	Gerasa,Pergamon	PS1A	IPerg 437; 		2018-03-14 	
Διονύσιος 	V6	Antioch,Iasos	P3_2B	IIasos 206; 		2018-03-14 	
Διονύσιος 	V6	Arados,Lindos,Rhodes	PS3B	ILind 132; ; IG XII (1) 104 c	child of Ἀστίς	2018-03-14 	
Διονύσιος 	V6	Sidon	imperial	Renan_Phénicie p. 383 no. 2, 1; 		2018-03-14 	
Διονύσιος 	V6	Sidon	imperial	Renan_Phénicie p. 383 no. 1, 1; 		2018-03-14 	
Διονύσιος 	V6	Beroia-Ḥalab-Aleppo	PF1B	RE (75)	child of Ἡρακλέων	2018-03-14 	
Διονύσιος 	V6	Syria,Korinth	PM3B	Plu +Arat. 20	sibling of Ἐργῖνος	2018-03-14 	
Διονύσιος 	V6	Syria,Egypt (Arsinoites)-Fayum-	-238--237	PPetr2 I 13; Lada E2478		2018-03-14 	
Διονύσιος 	V6	Sidon,Alexandria	P2B	RE (135)		2018-03-14 	
Διονύσιος 	V6	Gaza,Pitos-Kharabat Adwit-	-274--273	PCZ 59001; Lada E350	child of Ἀπολλώνιος	2018-03-14 	
Διονύσιος 	V6	Sidon,Amathous	P3_2B	SEG XXIII 626		2018-03-14 	
Διονύσιος 	V6	Antioch,Salamis	P2B	BMI 977; PPC Α 65; PP 15690		2018-03-14 	
Διονύσιος 	V6	Sidon	-142--141	IG II<2> 960 II	child of Σῶσος	2018-03-14 	
Διονύσιος 	V6	Tripolis	-63--63	RE (74)		2018-03-14 	
Διονύσιος 	V6	Antioch	P4A	RE (127)		2018-03-14 	
Διονύσιος 	V6	Sidon	P2B	RE (135)		2018-03-14 	
Διονύσιος 	V6	Antioch	364-364	SeeckLibanius p. 122 no. 5		2018-03-14 	
Διονύσιος 	V6	Antioch	390-390	PLRE I (7); SeeckLibanius p. 122 no. 6		2018-03-14 	
Διονύσιος 	V6	Byblos	P3-4A	SEG LII 1571 a, 1		2018-03-14 	
Διονύσιος 	V6	Tyre	P2_1B	HE 4462		2018-03-14 	
Διονύσιος 	V6	Byblos	imperial	MFOBeyrouth 1 (1906) p. 140 no. 13, 5	child of Διόφαντος	2018-03-14 	
Διονύσιος 	V6	Byblos	imperial	Musée_belge 4 (1900) p. 308 no. 49	child of Νετειος	2018-03-14 	
Διονύσιος 	V6	Byblos	P1A	BMI 1049, 3; MFOBeyrouth 1 (1906) p. 138	spouse of Κλεοπάτρα,child of Διονύσιος Θεόδωρος	2018-03-14 	
Διονύσιος Θεόδωρος 	V6	Byblos	P1A	BMI 1049, 3; MFOBeyrouth 1 (1906) p. 138		2018-03-14 	
Διονύσιος 	V6	Byblos	imperial	RA 1896 (1) p. 300 no. 3; =SBBerlAk 1887 p. 417 no. 117		2018-03-14 	
Διονύσιος 	V6	Byblos	148-149	SEG XLVI 1777; SEG XLVI 1778, 3; SEG XLVI 1779; SEG XLVI 1780, 3		2018-03-14 	
Διονύσιος 	V6	Byblos	148-149	SEG XLVI 1780, 3	child of Ἀσπάσιος	2018-03-14 	
Διονύσιος 	V6	Byblos	P2A	MFOBeyrouth 1 (1906) p. 143-6 no. 15 a, 1; MFOBeyrouth 1 (1906) pp. 143-6 no. 15 b, 1	child of Φείδων	2018-03-14 	
Διονύσιος Ἀσπᾶς 	V6	Byblos	P2A	MFOBeyrouth 1 (1906) p. 143-6 no. 15 a, 1; MFOBeyrouth 1 (1906) pp. 143-6 no. 15 b, 1; MFOBeyrouth 2 (1907) p. 265 n. 1	child of Διονύσιος	2018-03-14 	
Διονύσιος 	V6	Byblos	imperial	Renan_Phénicie p. 198 no. 1		2018-03-14 	
Διονύσιος 	V6	Kyrrhos--	PM5A	Thdt +Ep. 23; PLRE II (5)		2018-03-14 	
Διονύσιος 	V6	Kaisareia	457-457	PLRE II (7)		2018-03-14 	
Διονύσιος 	V6	Gaza	PS5A	PLRE II (9)		2018-03-14 	
Διονύσιος 	V6	Antioch	P5_6A	PLRE II (11)		2018-03-14 	
Διονύσιος 	V6	Doura-Europos	93-93	SEG VII 358, 4		2018-03-14 	
Διονύσιος 	V6	Doura-Europos	P1A	SEG VII 359, 2	child of Δαμόνικος	2018-03-14 	
Διονύσιος 	V6	Doura-Europos	imperial	SEG VII 494		2018-03-14 	
Διονύσιος 	V6	Diokleion M.	P3_4A	IGLS_IV 1409, 3		2018-03-14 	
Διονύσιος 	V6	Doura-Europos	PF3A	TEAD 5 p. 234 no. 589		2018-03-14 	
Διονύσιος 	V6	Chasa	250-250	IGLS_IV 1533d		2018-03-14 	
Διονύσιος 	V6	Doura-Europos	P2-3A	TEAD 6 p. 138 no. 675		2018-03-14 	
Διονύσιος 	V6	Anthedon	P3A	CIIP_III 2580; 		2018-03-14 	
Διονύσιος 	V6	Gaza	231-232	CIIP_III 2615; 		2018-03-14 	
Διονύσιος 	V6	Raphia	100-300	CIIP_III 2621; 	child of Ἰσίων	2018-03-14 	
Διονύσιος 	V6	Raphia	P3A	CIIP_III 2630; 	child of Ἀπολλώνιος	2018-03-14 	
Διονύσιος 	V6	Palmyra-Tadmur	imperial	PAT 644; 		2018-03-14 	
Διονύσιος 	V6	Palmyra-Tadmur	imperial	PAT 879; 		2018-03-14 	
Διονύσιος 	V6	Palmyra-Tadmur	imperial	PAT 1818; 		2018-03-14 	
Διονύσιος 	V6	Palmyra-Tadmur	imperial	PAT 2241; 		2018-03-14 	
Διονύσιος 	V6	Tyre	P2B	CIS_I 122; 	child of Σαραπίων	2018-03-14 	
Διονύσιος 	V6	Al Ghāriyah	100-600	MSM II 101; 		2018-03-14 	
Διονύσιος 	V6	Berytos,	PS2B	ID 2611 a; 		2018-03-14 	
Διονύσιος 	V6	Birtha	imperial	IGLS_XV_2 461; 		2018-03-14 	
Διονύσιος 	V6	Arra	byzantine	ITyr_I 54; 		2018-03-14 	
Διονύσιος 	V6	Arra	byzantine	ITyr_I 54; 		2018-03-14 	
Διονύσιος 	V6	Charakmoba	byzantine	IMoab 157; 		2018-03-14 	
Διονύσιος 	V6	Zoara	417-417	IPalTertia_Ia 113; 		2018-03-14 	
Διονύσιος 	V6	Askalon-,	-149--100	EAD XXX 229; 		2018-03-14 	
Διονύσιος 	V6	Askalon-,	-149--100	EAD XXX 228; 	child of Πρύτανις	2018-03-14 	
Διονύσιος 	V6	Askalon-,	-199--1	EAD XXX 241; 		2018-03-14 	
Διονύσιος 	V6	Zoara	456-456	IPalTertia_Ib 33; 		2018-03-14 	
Διονύσιος 	V6	Laodikeia,	-101--100	IG II<2> 1335; FRA 3245		2018-03-14 	
Διονύσιος 	V6	Laodikeia,	imperial	SEMA 1194; 		2018-03-14 	
Διονύσιος 	V6	Sidon	imperial	IMnBeyrouth 150, 1; 		2018-03-14 	
Διονύσιος 	V6	Sidon	imperial	IMnBeyrouth 201, 1; 		2018-03-14 	
Διονύσιος 	V6	Sidon	imperial	IMnBeyrouth 202, 1; 		2018-03-14 	
Διονύσιος 	V6	Sidon,	P2B	IG II<2> 10273; FRA 6673		2018-03-14 	
Διονύσιος 	V6	Syria	-374--325	IG II<2> 10402; FRA 7004		2018-03-14 	
Διονύσιος 	V6	Heliopolis	byzantine	IMnBeyrouth 562; 		2018-03-14 	
Διονύσιος 	V6	Heliopolis	imperial	IGLS_VI 2824b; 		2018-03-14 	
Διονύσιος 	V6	Berytos,	-119--118	ID 2598 I; 		2018-03-14 	
Διονύσιος 	V6	Apameia,	-119--118	ID 2598 II; 		2018-03-14 	
Διονύσιος 	V6	Antioch,	-225--175	ID 1417 B II; 		2018-03-14 	
Διονύσιος 	V6	Heliopolis	101-300	IGLS_VI 2859, 2; 		2018-03-14 	
Διονύσιος 	V6	Antioch,	-175--125	ID 1923; 		2018-03-14 	
Διονύσιος 	V6	Antioch,	-125--75	EAD XXX 146; 		2018-03-14 	
Διονύσιος 	V6	Phoenicia,	-125--75	EAD XXX 477; 		2018-03-14 	
Διονύσιος 	V6	Arados,	--140	ID 2140; 	child of Θεόφιλος	2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--75	EAD XXX 29; 		2018-03-14 	
Διονύσιος 	V6	Byblos,	-149--100	SEG XXVIII 681; 	child of Ἑρμήσανδρος	2018-03-14 	
Διονύσιος 	V6	Sidon,	P2B	ID 1925; ; ID 2091 a; ID 2091 b		2018-03-14 	
Διονύσιος 	V6	Laodikeia,	-125--100	EAD XXX 163; 	child of Ἀσκληπιόδωρος	2018-03-14 	
Διονύσιος 	V6	Laodikeia,	-199--1	EAD XXX 395; 	child of Διογένης	2018-03-14 	
Διονύσιος 	V6	Gaza	485-485	JohnRufus_VitPet 137		2018-03-14 	
Διονύσιος 	V6	Sidon,	-118--114	ID 1925; ; ID 2091 a	child of Διονύσιος	2018-03-14 	
Διονύσιος 	V6	Gerasa	101-150	IGerasa 20, 4; 	child of Ἄνθος	2018-03-14 	
Διονύσιος 	V6	Gerasa	155-156	IGerasa 22, 4; 		2018-03-14 	
Διονύσιος 	V6	Gerasa	83-96	IGerasa 52, 4; 		2018-03-14 	
Διονύσιος 	V6	Byblos	imperial	Berytus 56 (2016) p. 151 no. 1, 2; 		2018-03-14 	
Διονύσιος 	V6	Gerasa	100-300	IGerasa 186; 	child of Αββαιος	2018-03-14 	
Διονύσιος 	V6	Berytos,	P2B	EAD XXX 281; 		2018-03-14 	
Διονύσιος 	V6	Seleukeia,	P3_2B	IG XI (4) 815; 		2018-03-14 	
Διονύσιος 	V6	Seleukeia,	-200--175	IG XI (4) 815; 	child of Διονύσιος	2018-03-14 	
Διονύσιος 	V6	Seleukeia,	PS2B	EAD XXX 148; 		2018-03-14 	
Διονύσιος 	V6	Sidon,	-130--120	ID 2101; 	child of Δημοκλῆς	2018-03-14 	
Διονύσιος 	V6	Tyre,	PF2B	ID 1519; 		2018-03-14 	
Διονύσιος 	V6	Tyre,	-153--152	ID 1519; 	child of Διονύσιος	2018-03-14 	
Διονύσιος 	V6	Soada-Dionysias	imperial	IMSoueida 10, 1; 		2018-03-14 	
Διονύσιος 	V6	Sidon	-235--220	Steinepigramme 4 pp. 274-5 no. 20/14/01 a, 9; ; Steinepigramme 4 pp. 274-5 no. 20/14/01 b, 2		2018-03-14 	
Διονύσιος 	V6	Berytos,	PS2B	ID 2611 a; 		2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 a; 	child of Ἀπολλόδωρος	2018-03-14 	
Διονύσιος 	V6	Berytos,	P2-1B	ID 1790; 	child of Ζηνόδωρος	2018-03-14 	
Διονύσιος 	V6	Berytos,	PS2B	ID 1772; ; ID 1783; ID 1784; ID 1785	child of Ζήνων	2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 b; 	child of Μνασέας	2018-03-14 	
Διονύσιος 	V6	Berytos,	PS2B	ID 1779; ; ID 2611 a	child of Σωσίπατρος	2018-03-14 	
Διονύσιος 	V6	Berytos,	P2-1B	ID 2182; 		2018-03-14 	
Διονύσιος Κρατῖνος 	V6	Berytos,	-125--100	ID 2611 a; 		2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 a; 	child of Πίστος	2018-03-14 	
Διονύσιος 	V6	Berytos,	PS2B	ID 2611 a; 		2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 a; 	child of Διονύσιος	2018-03-14 	
Διονύσιος 	V6	Berytos,	PS2B	ID 2611 a; 		2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 a; 	child of Ἡλιόδωρος	2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 a; 	child of Ἀπολλώνιος	2018-03-14 	
Διονύσιος Μαγαθθων 	V6	Berytos,	-125--100	ID 2611 b; 	child of Θεόδωρος	2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 b; 	child of Δόναξ	2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 b; 		2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2611 b; 	child of Ἀσκληπιάδης	2018-03-14 	
Διονύσιος 	V6	Berytos,	-125--100	ID 2629 A; 		2018-03-14 	
