,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
6511,?????????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 124 no. 433, 2",,?????????? ,388
6513,????????? ,V6,Doura-Europos,P2-3A,"TEAD 6 p. 113 no. 639, 1",,????????? ,318
6514,??????? ,V6,Byblos,imperial,"Renan_Phénicie p. 232 no. 2, 2",,??????? ,949
6516,?????? ,V6,Sidon,206-206,"SEG LIV 1632, 5; ",,?????? ,359
6548,???? ,V6,Persia--,PF6A,Procop i 12. 10,,???? ,280
6549,??????? ,V6,"Sidon,Delphi",P2B,BCH 49 (1925) p. 89 no. 18,,??????? ,572
6550,???????? ,V6,Bur?q,imperial,IGLS_XV_2 531; ,child of ???????,???????? ,573
6551,???????? ,V6,Doura-Europos,65-66,"TEAD 5 p. 189 no. 531, 1",spouse of ?????????,???????? ,155
6552,????????? ,V6,Doura-Europos,108-108,"TEAD 5 p. 196 no. 546, 1",child of ?????????,????????? ,424
6554,??????? ,V6,Umm ar Rumm?n,486-487,Dussaud_Macler_Voyage p. 189 no. 66; ,,??????? ,380
6555,??????? ,V6,"Syria,Kos",P3B,Theoc +Id. xi,,??????? ,535
6556,???????? ,V6,Adraa,imperial,"IGLS_XIV_1 70, 1",child of ???????,???????? ,151
6557,??????? ,V6,?ibr?n,P2-3A,"IMSoueida 178, 2; (Djebel_al_Arab p. 146 no. 10.04)",,??????? ,403
6558,??????? ,V6,"Emesa,Aquileia",P2A,IAquil 926,child of ???????,??????? ,443
6559,??????? ,V6,Samoulis-Siml?n,imperial,"IGLS_XIV.2 474, 1",,??????? ,593
6560,????????? ,V6,Chasa,PF4A,IGLS_IV 1501 b,,????????? ,472
6561,???? ,V6,Adraa,imperial,IGLS_XIII_2 9795; ,child of ????????,???? ,130
6562,?????????? ,V6,Tyre,byzantine,"ITyr_I 84, 2; ",,?????????? ,1213
6563,????? ,V6,Adraa,imperial,"IGLS_XIV_1 70a, 2",child of ????????,????? ,180
6567,?????? ,V6,Rimea,imperial,IGLS_XV_2 393; ,child of ??????,?????? ,380
6568,??????? ,V6,Bostra,212-262,IGLS_XIII_2 9505; ,,??????? ,1392
6569,????????? ,V6,Adraa,imperial,"IGLS_XIV_1 72, 1",child of ????????,????????? ,562
6570,??????? ,V6,W?d? Mukattab,imperial,Euting_Sinaitische no. 514; ,,??????? ,453
6572,??????? ,V6,Heliopolis,imperial,"IGLS_VI 2883, 2; ",,??????? ,463
6573,?????? ,V6,Persia--,600-631,PLRE III s.v. Boran (-),,?????? ,231
6574,?????????? ,V6,Doura-Europos,P2A,"SEG VII 469, 4",,?????????? ,954
6575,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 196, 2",,?????? ,446
6585,??????? ,V6,Remmona,imperial,IGLS_XIII_2 9614; ,child of ???????,??????? ,457
6586,?????? ,V6,Khirbat al-Samr?,imperial,SEG XLVIII 1941,child of ???????,?????? ,447
6587,???? ,V6,‘Urm?n,152-153,"PEQ 27 (1895) p. 346 no. 164, 2; (ISyrie 2016)","child of ????????,spouse of ????????",???? ,180
6589,?????? ,V6,Doura-Europos,imperial,SEG VII 780,,?????? ,383
6590,??????? ,V6,Charakmoba,byzantine,IMoab 160; ,,??????? ,1052
6591,???????? ,V6,‘Urm?n,152-153,"PEQ 27 (1895) p. 346 no. 164, 1; (ISyrie 2016)",child of ???????,???????? ,473
6596,??????? ,V6,Jerusalem,-100-100,CIIP_I.1 592; ,,??????? ,467
6598,?????? ,V6,Dion,imperial,IGLS_XIV_1 295c,,?????? ,462
6600,?????? ,V6,Ri??b,imperial,SEG XLVIII 1926.18,,?????? ,642
6601,?????? ,V6,"Bostra,",imperial,IGLS_XIII_1 9217; ,,?????? ,315
6602,??????? ,V6,‘Aw?s,324-325,"AAES_III_A 685, 2",child of ???????,??????? ,577
6603,??????? ,V6,Golan-Sa?am al-Jawl?n,imperial,IGLS_XIV_1 322b,,??????? ,747
6604,???????? ,V6,Marisa,P3-2B,SEG XLII 1444,child of ????????,???????? ,1352
6608,?????? ,V6,Phaine,imperial,IGLS_XV_1 27; ,,?????? ,743
6609,??????? ,V6,Doura-Europos,P3A,PDura 47 i 15,,??????? ,683
6610,???????? ,V6,Doura-Europos,181-182,"TEAD 7/8 p. 171 no. 875, 2",,???????? ,755
6611,?????? ,V6,Neapolis-Nablus-,P2A,SEG VIII 127,,?????? ,675
6612,??????? ,V6,Doura-Europos,imperial,"TEAD 7/8 p. 174 no. 879a, 4",,??????? ,680
6614,??????? ,V6,Doura-Europos,P2_3A,"TEAD 7/8 p. 276 no. 904, 3",child of ???,??????? ,749
6615,?????? ,V6,Bostra,imperial,IGLS_XIII_1 9326; ,,?????? ,485
6616,???????????? ,V6,"Tyre,Kos",PS4B,IG XII (4) 15; ,,???????????? ,1648
6617,??????? ,V6,Doura-Europos,imperial,TEAD 5 p. 95 no. 415b,,??????? ,754
6618,?????? ,V6,Doura-Europos,P2_3A,"TEAD 7/8 p. 276 no. 904, 2",,?????? ,747
6619,???????? ,V6,Zoara,345-345,IPalTertia_Ia 6; ,,???????? ,887
6620,??????? ,V6,Doura-Europos,P3A,SEG VII 738,,??????? ,759
6621,?????? ,V6,Doura-Europos,212-212,PDura 100 xxxv 28; PDura 101 xxxvi 1,,?????? ,749
6622,??????? ,V6,Zabad,PS5A,"IGLS_II 310A, 3",,??????? ,767
6623,???????? ,V6,Heliopolis,imperial,IGLS_VI 2973; ,child of ????????,???????? ,867
6624,????????? ,V6,Doura-Europos,202-202,PDura 100 xxii 3,,????????? ,793
6629,?????? ,V6,Gadara,imperial,SEG LII 1631,,?????? ,513
6630,??????? ,V6,Tyre,byzantine,"ITyr_I 24 A, 3; ; ITyr_I 25, 3",,??????? ,733
6631,???????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 177 no. 504, 5",,???????? ,793
6632,??????? ,V6,Sha‘f,imperial,SEG VII 1058; &SEG LIII 1915,child of ??????,??????? ,846
6633,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 73, 1",child of ??????????,??????? ,635
6635,??????? ,V6,W?d? Mukattab,imperial,CIS_II 973; ,,??????? ,847
6637,????????? ,V6,"Askalon-,",P4A,"Syringes 1279, 1; DPhA B 57; Syringes 1405, 1, 6",,????????? ,1462
6638,???????? ,V6,Heliopolis,imperial,IGLS_VI 2973; ,,???????? ,867
6640,????????? ,V6,"Berytos,Akko-Ptolemais",200-260,"AEp 1906, no. 188, 4; AEp 2010, no. 1721, 3; (Hajjar 231)",,????????? ,741
6641,?????? ,V6,Nessana--,PS6A,"PNess 37, 31",,?????? ,732
6642,?????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 146 no. 454, 17",,?????? ,942
6644,??????? ,V6,Tyre,byzantine,"ITyr_I 9, 3; ",,??????? ,1082
6645,?????? ,V6,Marisa,-272--271,SEG XLII 1439,child of ?????????,?????? ,973
6646,???????? ,test,Palmyra-Tadmur,imperial,IGLS_XVII.1 455; ,,???????? ,1353
6647,??????? ,V6,Soada-Dionysias,imperial,"IMSoueida 22, 1; ",child of ??????,??????? ,956
6648,???????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 257; ,,???????? ,795
6650,???????? ,V6,Ioudaia-Palaistine,P3A,CIIP_III 2643; ,,???????? ,434
6651,???????? ,V6,Kyrrhos--,PS4A,RE (3); PLRE I (-); SeeckLibanius p. 97 no. 2,,???????? ,518
6652,???????? ,V6,Kaisareia,byzantine,CIIP_II 1462; ,,???????? ,328
6653,???????? ,V6,Sidon,imperial,IMnBeyrouth 186; ,,???????? ,818
6654,??????? ,V6,Jerusalem,byzantine,CIIP_I.2 1069; ,,??????? ,1062
6655,????????? ,V6,Berytos,imperial,"IMnBeyrouth 97, 1; ",,????????? ,513
6656,??????? ,V6,Legio-Maximianopolis,P3A,SEG LVI 1899; SEG LXI 1441,,??????? ,1082
6657,??????????? ,V6,Heliopolis,imperial,"IGLS_VI 2720, 2; (Hajjar 23)",spouse of ??????????,??????????? ,1510
6658,??????? ,V6,Antiocheia-Nisibis-Nusaybin,304-304,Synaxarium cols. 769-72,,??????? ,564
6659,????????? ,V6,Persia--,591-591,PLRE III (-),,????????? ,810
6660,????? ,V6,Marisa,P3-2B,SEG XLII 1442 B,,????? ,1352
6664,?????? ,V6,Palmyra-Tadmur,imperial,PAT 2471; ; PAT 2525; PAT 2560,,?????? ,872
6666,????? ,V6,Remmona,imperial,IGLS_XIII_2 9616; ,,????? ,872
6667,???????? ,V6,Laodikeia near Libanon,P2-3A,"IGLS_V 2671, 2",,???????? ,1293
6668,????? ,V6,Tyre,P1A,IDidyma 151,,????? ,1007
