,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
18552,????????? ,V6,Jerusalem,P5-6A,CIIP_I.2 970; BE (2012) no. 473; SEG LX 1720,,????????? ,1411
18553,????????? ,V6,Ioppe,400-600,CIIP_III 2219; ,,????????? ,941
18554,?????? ,V6,Arethousa,imperial,"IGLS_V 2166, 1",child of ???????,?????? ,811
18559,??????? ,V6,Gerasa,P5A,"IGerasa 344, 6; SEG LII 1720",,??????? ,812
18560,????????? ,V6,Doura-Europos,P2A,"SEG VII 461, 9",,????????? ,504
18561,??????? ,V6,Mariamme,226-226,IGLS_V 2118,,??????? ,521
18562,??????? ,V6,Doura-Europos,imperial,"SEG VII 572, 3",,??????? ,911
18565,?????? ,V6,Zoara,358-359,IPalTertia_Ic 4,,?????? ,611
18572,??????? ,V6,"Antioch,Skythopolis-Beit She'an",-195--195,"IEJ 16 (1966) pp. 58-60 V, 1; VI, 2; GraingerSPG p. 103; BE 1970, no. 627",,??????? ,942
18575,????? ,V6,Doura-Europos,P1A,SEG VII 722,"child of ?????,spouse of ???????????",????? ,442
18576,?????? ,test,Amman-Philadelphia,-31-310,IGLS_XXI_2 29; ,child of ????????,?????? ,642
18577,????????? ,V6,Berytos,P2A,"AEp 1926, no. 61, 1; MUSJ 34 (1957) pp. 222-4","child of ????????,child of ???",????????? ,690
18579,????????? ,V6,Samaria-Sebaste-Samirah,P2-4A,CrowfootObjectsfromSamaria p. 41 no. 48,,????????? ,692
18581,????????? ,V6,Bosora,imperial,IGLS_XV_1 238; ,child of ????????,????????? ,772
18582,??????? ,V6,"Syria,Ravenna",imperial,"CIL XI 352, 3",spouse of ??????,??????? ,502
18583,??????????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 96; ,,??????????? ,832
18584,???????? ,V6,Aire,P4A,"IGLS_XIV.2 565, 3",,???????? ,771
18593,???????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 46; ,,???????? ,952
18595,????????? ,V6,Atarotha-Taroutia emporon,P6_7A,"SEG XLVIII 1850B; BE 2013, no. 446",,????????? ,1221
18614,???????? ,V6,Edessa,449-449,"Flemming_Akt_ephes_Synode p. 36, 27",,???????? ,1151
18618,??????? ,V6,Jerusalem,-100-100,CIIP_I.1 486; ,,??????? ,602
18619,????? ,V6,"Kaperlatinou-Kaferlatin,Korykos",P5-6A,MAMA III 507,,????? ,991
18641,??????? ,V6,Doura-Europos,207-207,PDura 98 xi 18; PDura 102 viii 9,,??????? ,1192
18654,???????? ,V6,Amathe/Epiphaneia,byzantine,"IGLS_IV 1942, 2",,???????? ,1271
18655,????? ,V6,Olbanoi-?alb?n,byzantine,IGLS_IV 1891,,????? ,1141
18656,??????? ,V6,Doura-Europos,204-204,PDura 98 xi 4; PDura 100 xvii 9; PDura 101 xxii 19,,??????? ,1342
18659,??????? ,V6,"Sekla-Bsaqla,Iulia Concordia-Concordia Sagittaria-",P4A,IG XIV 2329; ,,??????? ,1201
18660,????????? ,V6,Bur?q,imperial,IGLS_XV_2 533; ,child of ?????,????????? ,526
18661,????????? ,V6,Kanatha,385-386,IGLS_XIII_2 9860; ,child of ??????,????????? ,587
18662,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 346; ,child of ???????,?????? ,850
18663,??????? ,V6,Rujm al Mar’ah,imperial,CIS_V 741; ,,??????? ,1050
18664,??????? ,V6,Damatha,212-262,IGLS_XV_2 307; ,spouse of ???????,??????? ,900
18665,??????? ,V6,Al ‘Anz,100-300,MSM II 109; ,,??????? ,1112
18670,??????? ,V6,Neapolis-Sheikh Mesk?n,P2-4A,"IGLS_XIV.2 415, 7",child of ?????????,??????? ,1116
18683,??????? ?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 350; ,child of ???????,??????? ?????? ,1701
18711,??????? ,V6,Soada-Dionysias,imperial,"IMSoueida 16, 4; ",,??????? ,1119
18712,???????????? ,V6,Doura-Europos,P1-2A,"SEG VII 712, 5",,???????????? ,926
18713,??????? ,V6,Gabboula,PS5A,"IGLS_II 264, 4",,??????? ,472
18714,??????? ,V6,Adraa,274-275,"IGLS_XIV_1 19, 9",,??????? ,561
18718,??????? ,V6,Doura-Europos,236-236,"SEG VII 343, 2",,??????? ,1121
18719,??????? ?????? ,V6,Bostra,imperial,IGLS_XIII_2 9580; ,,??????? ?????? ,1488
18720,???????? ,V6,Abila Lysaniou,imperial,"MUSJ 34 (1957) p. 235 no. 2b, 1",child of ???????,???????? ,552
18721,???????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 89; ,,???????? ,985
18722,???????? ,V6,Eutimia-al-??rrah,imperial,"IGLS_XIV.2 502a, 2",,???????? ,672
18723,???????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 204; ,,???????? ,1321
18724,???? ,V6,Abila Lysaniou,imperial,MUSJ 34 (1957) p. 234 no. 1a,child of ?????????,???? ,342
18725,?????? ,V6,Mothana,imperial,SEG VII 1188,,?????? ,443
18726,????????? ,V6,Motho,byzantine,IMoab 332; ,,????????? ,701
18727,????? ,V6,Paneas-Kaisareia-Banias-,hellenistic,SEG LIII 1819 b,,????? ,542
18728,?????????? ,V6,Tyre,380-,"ITyr_II 9, 2; ",,?????????? ,541
18729,??????? ,V6,Emmatha,byzantine,"SEG XLVII 2020, 7",,??????? ,497
18730,???????? ,V6,Pella-Apameia,230-230,IGLS_IV 1848,,???????? ,766
18733,???????? ,V6,"Syria,Stabiae",68-68,CIL XVI 8 I,child of ???????,???????? ,631
18734,???????? ,V6,Doura-Europos,201-201,PDura 100 xxxii 6; PDura 101 xxxii 17,,???????? ,602
18736,?????? ,V6,Seia,-109--108,SEG LIII 1914; Hauran_II p. 269,,?????? ,621
18737,???????? ,V6,"Arabia,Misenum",imperial,"CIL X 3546, 2",,???????? ,1181
18739,???????? ,V6,Gaza,imperial,CIIP_III 2573; ,child of ?????,???????? ,771
18740,?????? ,V6,Dh?b?n,388-389,"SEG VII 1168, 4",,?????? ,711
18742,???????? ,V6,Kaisareia,byzantine,CIIP_II 1491; ,spouse of ????????,???????? ,962
18743,?????? ,V6,Neapolis-Nablus-,P2A,SEG VIII 122,,?????? ,1041
18744,????? ,V6,Karmiel--,P5-6A,"SEG LXIII 1566, 10",,????? ,1241
18745,?????? ,V6,Dion,imperial,IGLS_XIV_1 282,,?????? ,1291
18747,??????? ,V6,"Antioch,Rome",P3A,IG XIV 1347; ,spouse of ????????? ????????,??????? ,1292
18760,??????? ,V6,Zoara,377-383,IPalTertia_Ia 44; ,child of ????????,??????? ,1299
18763,??????????? ,V6,Antioch,514-518,BrooksLettersofSeverus 1 p. 40 no. i 5; ,,??????????? ,1622
18766,????????? ,V6,Jerusalem,-100-100,CIIP_I.1 219; ,other relative of ??????,????????? ,862
18767,?????? ,V6,Tyre,-480--480,Hdt vii 98,child of ???????,?????? ,699
18768,?????? ,V6,Emesa,imperial,IGLS_V 2379,,?????? ,477
18769,??????? ,V6,Doura-Europos,204-204,PDura 98 iii 19; PDura 100 vii 14; PDura 101 xii 28,child of ??????????,??????? ,677
18771,??????? ,V6,Umm ar Rumm?n,366-367,"IMSoueida 212, 1; ",,??????? ,746
18772,?????? ,V6,Arabia,PF6A,PLRE III s.v. Mavia (-),child of ??????,?????? ,652
18773,?????? ,V6,Nemara,imperial,CIS_V 2313; ,,?????? ,761
18774,????????? ,V6,Phoenicia,byzantine,"IMnBeyrouth 431, 4; ",,????????? ,758
18775,???????? ,V6,Tharba,imperial,Dussaud_Macler_Voyage p. 150 no. 16; ,,???????? ,757
18776,????????? ,V6,Nessana--,P6-7A,"PNess 168, 8",,????????? ,851
18777,?????? ,V6,Abila Lysaniou,166-167,"SEG XXXIX 1565, 7",child of ??????????,?????? ,811
18779,????? ,V6,Amathe/Epiphaneia,imperial,IGLS_IV 1995B,,????? ,811
18780,??????? ,V6,Phaine,imperial,IGLS_XV_1 29; ,child of ???????,??????? ,962
18781,????????? ,test,Wadi Rum,-31-310,IGLS_XXI_4 147; ,,????????? ,1021
18782,?????????? ,V6,Nessana--,558-558,"PNess 20, 14",,?????????? ,1035
18783,????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 353; ,child of ??????,????? ,911
18785,?????????? ,V6,Al Gh?riyah,P2-4A,"AAES_III_A 195, 3; (Djebel_al_Arab p. 124 no. 5.30)",child of ?????????,?????????? ,1552
18786,?????????? ,V6,Abila Lysaniou,PS2A,"Waddington_ISyrie 1875a, 5",,?????????? ,1561
18787,?????????? ,V6,Doura-Europos,PM1A,"TEAD 5 p. 186 no. 522, 3",,?????????? ,1732
18789,????? ,V6,"Laodikeia,",1-50,IG II<2> 9161; FRA 3269,,????? ,1491
18790,????????? ,V6,Doura-Europos,P2-3A,"TEAD 6 p. 37 no. 617, 3",child of ?????,????????? ,1952
18791,??????? ,V6,Persia--,PF6A,PLRE III (1),,??????? ,329
18794,?????? ,V6,Edessa,562-562,Wright_Catalogue_BM 2 p. 648 no. 729; (JTS 21 (1970) p. 321); Mango_Treasures p. 259,,?????? ,87
18805,???????? ,V6,Emesa,byzantine,SEG XL??? 1020 with comm.,,???????? ,317
18806,??????? ,V6,Tyre,byzantine,ITyr_I 84bis; ,,??????? ,349
18808,???????? ,V6,Syria,P6-7A,SEG XLIV 1575,,???????? ,749
18809,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 574; ,,??????? ,419
18811,????? ,V6,Beroia-?alab-Aleppo,540-540,"Procop ii 6. 17, 21, 25; ii 7. 1, 3, 14, 19, 23, 34; ii 8. 1",,????? ,249
18821,???????? ,V6,Sakkaia-Maximianopolis,imperial,AAES_III 372; ,spouse of ??????????,???????? ,85
18822,??????? ,V6,Dh?b?n,imperial,"SEG VII 1159, 2",child of ????????,??????? ,73
18826,???????? ,V6,Ainauatha,610-620,IMoab 381; MUSJ 34 (1957) p. 267,child of ?????????,???????? ,273
18827,???????? ,V6,Bostra,251-300,IGLS_XIII_2 9875; ,,???????? ,342
18835,??????? ,V6,D?‘il,byzantine,IGLS_XIV_1 362,child of ???????,??????? ,272
18836,????? ,V6,Syria,P1A,JRS 25 (1935) p. 170; Inscribed_Economy pp. 81-2,,????? ,256
18840,??????? ,V6,Kaparearibou-Kafr Haruv,imperial,(Gregg-Urman_Golan 3); ; SEG XLVI 1946.2,,??????? ,566
18845,?????????? ,V6,Gaza,400-600,CIIP_III 2489; ,child of ????????,?????????? ,677
18846,????????? ,V6,"Antioch,Rhodes",P1B,ILind 660; ,,????????? ,688
18848,???????? ,V6,Marisa,P3-2B,SEG XXXIV 1477,,???????? ,828
18850,??????? ,V6,Doura-Europos,32-36,"SEG II 820, 1; &SEG VII 800; TEAD 5 p. 195 no. 544, 1","child of ??????????,spouse of ????????",??????? ,1358
18851,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 451; ,,?????? ,299
18852,????? ,V6,Nebo,P6A,SEG XLVIII 1920,,????? ,898
18853,?????? ,V6,Soada-Dionysias,PM3A,"IMSoueida 5, 2; (SEG XL 1522)",,?????? ,320
18855,????????? ,V6,Marisa,P3-2B,"IMarisa p. 41 no. 4, 1",child of ?????????,????????? ,453
18857,?????????? ,test,Spasinou Charax,131-131,IGLS_XVII.1 245; JS pp. 35-7,,?????????? ,668
18858,?????????? ,V6,Doura-Europos,201-201,PDura 101 vii 4,child of ???????????,?????????? ,673
18859,?????????? ,V6,Palmyra-Tadmur,192-192,PAT 1790; ,child of ?????????????,?????????? ,309
18861,???????? ,V6,Armenia,590-637,PLRE III (-),,???????? ,344
18862,????? ,V6,Emesa,474-474,IGLS_V 2207,,????? ,256
18863,?????? ,V6,Doura-Europos,imperial,"SEG VII 566, 4",,?????? ,909
18864,?????? ??????? ,V6,Salamias,byzantine,"IGLS_V 2539, 1",,?????? ??????? ,1437
18865,????????? ,V6,Bostra,byzantine,IGLS_XIII_2 9679; ,,????????? ,975
18866,???????? ,V6,Adraa,imperial,"IGLS_XIV_1 111a, 3",,???????? ,965
18870,???? ,V6,Ioppe,200-600,CIIP_III 2220; ,,???? ,73
18871,??????? ,V6,Emmatha,byzantine,"SEG XLVII 2001, 5",,??????? ,396
18872,????? ,V6,"Sidon,",-199--1,SEMA 1429; FRA 6696,child of ????????,????? ,276
18873,????????? ,V6,"Syria,Ilion",PF3B,WellesRC 10; WellesRC 11; WellesRC 12; WellesRC 13; IIlion 34; GraingerSPG p. 104 no. 2,,????????? ,454
18875,????? ,V6,Umm as Surab,100-600,IGLS_XXI_5 71; ,,????? ,88
18876,???????? ,V6,Larissa-Sizara-,449-451,"RE (6); Flemming_Akt_ephes_Synode pp. 6, 21; 148, 25",,???????? ,660
18878,??????? ,V6,Antioch,449-449,"Flemming_Akt_ephes_Synode p. 128, 27",,??????? ,590
18880,???? ,V6,J?bir,100-600,IGLS_XXI_5 11; ,child of ??????,???? ,83
18889,???????? ,V6,Bosana,100-600,Dussaud_Macler_Voyage p. 156 no. 21; ,child of ????????,???????? ,563
18890,????? ,V6,Askalon-,200-500,CIIP_III 2380; ,,????? ,683
18891,???????? ,V6,"Antiocheia,Sparta",imperial,IG V (1) 809; ,child of ??????????,???????? ,211
18892,??????? ,V6,Pella-Apameia,160-160,Coll_Apamée p. 98-9 no. 3B,,??????? ,186
18893,????? ,V6,Nessana--,PS6A,"PNess 37, 21",,????? ,285
18894,??????? ,V6,"Berytos,Jerusalem",PF6A,CyrS +V. +Sab. 76; 83-4,,??????? ,586
18895,???????? ,V6,Besara-Beth She‘arim,P4A,IBeth_Shearim 60; ,child of ?????,???????? ,665
18896,??????? ,V6,"Antioch,Knidos",P2B,IKnid 409,child of ??????????,??????? ,1235
18902,?????? ,V6,"Heliopolis,Berytos",128-138,"IGLS_VI 2714, 12; (Hajjar 12)",,?????? ,985
18903,?????? ,V6,Gerasa,201-250,IGerasa 86; ,,?????? ,1005
18904,????????? ,V6,Azotos Paralios,byzantine,CIIP_III 2310; ,,????????? ,598
18905,?????? ,V6,Sidon,P2-1B,SEG LII 1596; ,,?????? ,985
18907,????? ,V6,Besara-Beth She‘arim,200-400,IBeth_Shearim 37; ,,????? ,104
18908,?????? ,V6,Qa?r al Yah?d,byzantine,Meimaris_Sacred_Names p. 232 no. 1155,,?????? ,107
18909,??????? ,V6,Askalon-,500-700,CIIP_III 2322; ,,??????? ,406
18910,????????? ,V6,"Nikopolis-?slahiye,Demetrias",P3B,"IG IX (2) 1189; BE 1972, no. 242; LGPN V.B (296); (ThessMnem 209)",,????????? ,520
18932,???????? ,V6,Hegra,imperial,Jaussen_Savignac no. 131; ,,???????? ,1066
18933,???????? ,V6,Ioppe,200-600,CIIP_III 2222; ,child of ????,???????? ,704
18934,????????? ,V6,Antioch,P3_2B,IEstrOriente 271; 272; 277; 278; 279; RE Supplbd. 9 (14); GraingerSPG p. 104,,????????? ,422
18935,????????? ,V6,Seleukeia,imperial,IGLS_III_2 1199,,????????? ,819
18936,???????? ,V6,"Laodikeia,",P2B,EAD XXX 493; ,,???????? ,358
18938,?????????? ,V6,"Laodikeia,Iasos",-144--139,IIasos 199; ,child of ?????????,?????????? ,729
18942,???????? ,V6,Thelbonthis,266-266,"Stud_Pal XX 63, 30",,???????? ,401
18952,????????? ,V6,Bostra,imperial,"IGLS_XIII_1 9391, 1; ",,????????? ,1011
18954,????????? ,V6,Doura-Europos,imperial,"TEAD 6 p. 248 no. 741, 2",,????????? ,914
18955,??????????? ,V5a,Pergamon,P1A,"IMnBeyrouth 139, 4; ",,??????????? ,1271
18956,??????? ,V6,Dion,341-342,"IGLS_XIV_1 286, 4",,??????? ,670
18957,????? ,V6,"Laodikeia,",-118--117,ID 1926; ,child of ???????,????? ,303
18958,??????? ,V6,Ioppe,200-600,CIIP_III 2223; ,,??????? ,156
18959,???????? ,V6,"Laodikeia,Smyrna",P2B,ISmyrna 689 III; ,child of ????????,???????? ,535
18963,???????? ,V6,"Marathos,Teos",hellenistic,SEG II 634,,???????? ,595
18967,???????? ,V6,Chalkis ad Belum,-140--85,J +BJ i 103; 185; 248; J +AJ xiii 392; 418; xiv 39; 126; 297; 307; 330,,???????? ,426
18968,??????? ,V6,Zorava,542-543,IGLS_XV_1 179; ,,??????? ,351
18972,?????? ,V6,"Antioch,Brentesion-Brundisium",P1-2A,CIL IX 41,,?????? ,373
18973,?????? ,V6,Nihatha,imperial,IGLS_VI 2940c; ,child of ?????????,????? ,365
18974,?????? ,V6,Sidon,imperial,"SEG LV 1683; AEp 2005, no. 1574",,?????? ,1295
18981,????? ,V6,"Pella-Apameia,Smyrna",P2B,ISmyrna 689 III; ,child of ?????????,????? ,945
18984,???????? ,V6,Arados,-480--480,Hdt vii 98,child of ???????,???????? ,448
18985,???????? ,V6,Persia--,600-628,PLRE III (-),child of ???????,???????? ,551
18986,???????????? ,V6,Balmarcodes-,imperial,SEG XLIX 1990.5,,???????????? ,1046
18988,???????????? ,V6,Balmarcodes-,imperial,CIL III 14392b,,???????????? ,984
18989,?????????? ,V6,Abila Lysaniou,201-202,"Waddington_ISyrie 1875a, 5",child of ??????????,?????????? ,1015
18998,????????? ,V6,Telmenissos-Maratomyrton,byzantine,"IGLS_IV 1573a, 3",,????????? ,945
19001,????????? ,V6,Persia--,490-555,PLRE III (-),,????????? ,568
19002,???????? ,V6,Tyre,P3_4A,RE (-); PLRE I (-); DPhA M 138,,???????? ,575
19003,??????? ,V6,Zoara,378-378,IPalTertia_Ia 38; ,child of ????????,??????? ,1155
19004,?????????? ,V6,Emesa,575-600,"IGLS_V 2479 c, 5; (SEG LI 1969)",,?????????? ,672
19005,?????????? ,V6,Adraa,imperial,"IGLS_XIV_1 122a, 1",child of ????????,?????????? ,806
19007,??????? ,V6,"Pella-Apameia,Rome",204-204,CIL VI 32523 b-c I,,??????? ,725
19009,?????? ,V6,Sidon,imperial,Renan_Phénicie p. 491 no. 2; OnomThrac p. 219; (Waddington_ISyrie 1870a),,?????? ,815
19010,????????? ,V6,Jerusalem,-100-100,CIIP_I.1 562; ,,????????? ,788
19011,??????? ,V6,Berytos,byzantine,IMnBeyrouth 105; ,,??????? ,417
19012,???????? ,V6,Berytos,imperial,"AEp 1994, no. 1772, 5",,???????? ,665
19013,???????????? ,V6,"Askalon-,",P3B,Polemon 5 (1952-3) p. 18 no. 349; ; BCH 93 (1969) p. 693 no. 3,child of ???????,???????????? ,1285
19014,???? ,V6,Eutimia-al-??rrah,imperial,IGLS_XIV.2 499,,???? ,1045
19017,???????? ,V6,Doura-Europos,P3A,TEAD 6 p. 171 no. 691b,,???????? ,725
19018,??????? ,V6,"Antioch,",-119--118,ID 2598 II; ,,??????? ,337
19019,????? ,V6,Skythopolis-Beit She'an,P2-3A,SEG XLVI 2048,,????? ,322
19020,????????? ,V6,Doura-Europos,imperial,TEAD 6 p. 210 no. 720,,????????? ,398
19021,????????? ,V6,Doura-Europos,P2-3A,TEAD 7/8 p. 217 no. 896,,????????? ,181
19025,???????? ,V6,Doura-Europos,imperial,"TEAD 7/8 p. 173 no. 878, 1",child of ??????,???????? ,175
19026,????????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 179 no. 507, 5",,????????? ,444
19027,??????????? ,V6,Doura-Europos,-7--6,"SEG VII 681, 2","child of ??????,spouse of ???????????",??????????? ,482
19029,??????? ,V6,Kaisareia,byzantine,CIIP_II 1548; ,child of ??????,??????? ,1023
19030,??????? ,V6,Maktabah,byzantine,"IGLS_II 340, 4",,??????? ,319
19031,??????? ,V6,Doura-Europos,imperial,"SEG VII 539, 2",,??????? ,300
19032,????????? ,V6,Doura-Europos,157-158,TEAD 7/8 p. 168 no. 872,,????????? ,470
19035,?????????? ,V6,Doura-Europos,153-153,"TEAD 7/8 p. 168 no. 871, 7",child of ???????,?????????? ,520
19036,?????? ,V6,Doura-Europos,P1-2A,"SEG VII 710, 2",,?????? ,563
19037,????? ,V5b,"Aigeai,Madaba",607-608,IGLS_XXI_2 145; SEG XXXVIII 1657,child of ????????,????? ,299
19071,???????????? ,V6,Berytos,P2-3A,"Waddington_ISyrie 1854d, 5",child of ??????,???????????? ,888
19072,????????? ,V6,Nikertai,PF5A,"SEG XL 1758, 7",,????????? ,641
19073,????? ,V6,Antioch,P2-1B,NS 37 II,,????? ,308
19074,????????? ,V6,"Laodikeia,Iasos",PF2B,IIasos 196; ,,????????? ,434
19075,????????? ,V6,"Tyre,Rhodes,Athens",PS2B,ILind 245; Künstlerlexikon (2); ILind 281 b; Marcadé I 14; Marcadé I 16; KontoriniRhodiaka 7,child of ???????????,????????? ,812
19077,???????? ,V6,Seleukeia,P1B-1A,ASAA 2 (1916) p. 128 no. 7,,???????? ,1073
19078,????????? ,V6,Damaskos,37-38,"SEG II 830, 1",child of ?????,????????? ,1342
19087,??????? ,V6,"Pella-Apameia,Smyrna",P2B,ISmyrna 689 III; ,child of ??????????,??????? ,183
19088,???????? ,V6,Amathe/Epiphaneia,101-101,"IGLS_V 2015, 1",child of ????????,???????? ,709
19090,????????? ,V6,Doura-Europos,35-38,"SEG VII 688, 1; TEAD 5 p. 182 no. 514, 2",child of ??????????,????????? ,978
19094,???????? ,V6,Bosora,imperial,IGLS_XV_1 249; ,child of ?????????,???????? ,1499
19095,??????? ,V6,Charakmoba,601-612,IMoab 39; ,,??????? ,464
19098,???????? ,V6,Ainauatha,602-602,IMoab 372; ,child of ?????????,???????? ,664
19100,???????????? ,V6,Paliga,121-121,"PDura 20, 2",grandchild of ????????????,???????????? ,1062
19101,?????????????? ,V6,Beth Phouraia--,244-252,"PEuphr 9, 33; ; PEuphr 12, 25",,?????????????? ,1426
19102,?????? ,V6,Husn Sfiri,200-250,SEG LIX 1694; (Hajjar 225),,?????? ,649
19106,????????? ,V6,Doroa,imperial,IGLS_XIII_2 9856; &SEG LXI 1480,,????????? ,800
19107,?????????? ,V6,"Pella-Apameia,Smyrna",P2B,ISmyrna 689 III; ,,?????????? ,1692
19112,???????? ,V6,"Antiocheia,Kos",P2-1B,IG XII (4) 2706; ,child of ???????,???????? ,533
19113,?????????? ,V6,"Syria,Pannoukome",-254--253,WellesRC 18; 20; GraingerSPG p. 106,,?????????? ,1277
19114,??????? ,V6,Ib?a‘,imperial,"IGLS_XIV_1 392, 3",,??????? ,374
19117,????? ,V6,Doura-Europos,-4--2,"SEG II 805a, 1; &SEG VII 800; SEG VII 725, 1",child of ??????????,????? ,904
19121,??????? ,V6,"Phoenicia,Syria",205-205,SEG XLII 1375,,??????? ,178
19122,?????? ,V6,Syria,P4_3B,RE (-); DPhA M 173,,?????? ,367
19123,???? ,V6,Jerusalem,byzantine,CIIP_I.2 886; Syria 91 (2014) p. 429,,???? ,71
19125,???????? ,V6,Kafr--,imperial,"AAES_III_A 676, 1",child of ??????,???????? ,154
19126,??????? ,V6,Edessa,449-449,"Flemming_Akt_ephes_Synode pp. 22, 2, 6; 26, 37; 28, 9; 36, 22",,??????? ,371
19127,?????? ,V6,Besara-Beth She‘arim,200-400,IBeth_Shearim 122; ,,?????? ,106
19128,???? ,V6,Gaulanitis--,byzantine,SEG XLVI 1971.1; ,,???? ,78
19130,????? ,V6,Emmaus-Nikopolis-,P6A,SEG VIII 166,,????? ,278
19131,??????? ,V6,"Tyre,Demetrias",P2B,IG IX (2) 1191; ,child of ????????,??????? ,338
19132,?????? ,V6,"Antioch,Athens",P1B,IG II<2> 1043 I; FRA 927,,?????? ,930
19133,????? ,V6,Askalon-,451-451,JohnRufus_Pler 43,,????? ,91
19134,???????? ,V6,Antioch,PM4A,RE (2),child of ??????????,???????? ,391
19137,????? ,V6,"Antioch,Rhodes",P1B-1A,ILind 642,,????? ,98
19140,??????? ,V6,Askalon-,PF1A,CIIP_III 2336; ,,??????? ,950
19141,?????? ,V6,Antioch,imperial,IGLS_III_1 840,,?????? ,360
19143,?????????? ,V6,Syria,P4_5A,SEG LV 1698 with comm.,,?????????? ,1700
19144,??????? ,V6,Palmyra-Tadmur,201-250,PAT 440; Stark_PN p. 96,child of ????????,??????? ,770
19145,?????? ,V6,Skythopolis-Beit She'an,byzantine,Synaxarium col. 658. 5,,?????? ,285
19146,???? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 606; ,child of ???????,???? ,88
19147,????? ,V6,Doura-Europos,214-214,PDura 102 vi 11,,????? ,288
19148,????? ,V6,Nebo,PF6A,"SEG XL 1534, 2; (SEG XLVIII 1919)",,????? ,690
19149,????????? ,V6,Charakmoba,byzantine,IMoab 127; ,child of ??????,????????? ,759
19150,?????????? ,V6,Charakmoba,byzantine,IMoab 283; ,child of ???????,?????????? ,959
19151,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 123, 2",,??????? ,960
19161,????????? ,V6,Sidon,P2-3A,SEG L 1446; =SEG VII 320,,????????? ,603
19169,????? ,V6,Zoara,331-386,IPalTertia_Ia 51; ,child of ???????,????? ,690
19170,?????? ,V6,?alkhad,419-420,"AAES_III_A 160, 3",child of ???????,?????? ,950
19171,??????? ,V6,Jerusalem,300-600,CIIP_I.2 1015; ,,??????? ,551
19172,??????? ,V6,Tyre,-100-100,"ITyr_II 4, 3; ",,??????? ,671
19173,??????????? ,V6,Emesa,170-180,"IMnBeyrouth 49, 3; ",,??????????? ,1005
19174,?????? ,V6,Nessana--,P6_7A,"PNess 89, 41",,?????? ,400
19175,????????? ,V6,Persia--,590-590,PLRE III (-),,????????? ,828
19176,?????????? ,V6,Persia--,590-591,PLRE III (-),,?????????? ,935
19177,??????? ?????????? ,V6,Persia--,PM6A,PLRE III s.v. Bahram (1),,??????? ?????????? ,813
19178,???????? ,V6,Persia--,548-548,PLRE III (-),,???????? ,509
19179,??? ,V6,"Nihatha,",imperial,"IGLS_VI 2947, 1; ",child of ??????,??? ,250
19180,???????? ,V6,Gaza,576-599,"CIIP_III 2539, 1; ; (CBCMPIPT 82); CIIP_III 2542, 2; (CBCMPIPT 135)",,???????? ,559
19181,???????????? ,V6,Doura-Europos,P2_3A,"TEAD 7/8 p. 276 no. 905, 4",child of ?????,???????????? ,969
19182,?????? ,V6,Androna-Andarna,byzantine,IGLS_IV 1688,,?????? ,689
19184,????????? ,V6,Augustopolis,593-593,"PPetra III 32, 6",,????????? ,969
19186,????? ,V6,Rabbath Moab-Areopolis,imperial,IMoab 215 bis; ,,????? ,920
19187,?????? ,V6,Doura-Europos,imperial,SEG VII 751,,?????? ,950
19189,???????? ,V6,Baitokaike-,P3B,"IGLS_VII 4028 b, 21; ",,???????? ,572
19190,??????? ,V6,"Berytos,Delos",PM2B,ID 1773; ID 1775; ID 1778,child of ?????????,??????? ,497
19221,?????? ,V6,Sidon,imperial,Renan_Phénicie p. 491 no. 2; (Waddington_ISyrie 1870a),child of ??????,?????? ,501
19222,????? ,V6,Jerusalem,P1A,CIIP_I.1 328; ,,????? ,1091
19223,?????? ,V6,Tyre,P1A,AntDiog +de +Incred. 12,child of ?????????,?????? ,1141
19225,????? ,V6,"Ioudaia-Palaistine,Phoenicia",-165--164,SEG LII 1695,,????? ,945
19226,?????? ,V6,"Antiocheia,Rhodes",P2_1B,IG XII (1) 402; ,,?????? ,988
19228,?????? ,V6,Nihatha,imperial,"IMnBeyrouth 359 c, 5; ",,?????? ,468
19229,????????? ,V6,Doura-Europos,PF1A,"PDura 19, 5",,????????? ,738
19230,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 397; ,,??????? ,486
19231,???????? ,V6,Adraa,200-600,IGLS_XXI_5 5; ,,???????? ,394
19232,???????? ,V6,Sam? as Sir??n,100-600,IGLS_XXI_5 41; ,child of ???????,???????? ,492
19233,???????? ,V6,Samoulis-Siml?n,P2A,"IGLS_XIV.2 477, 5",child of ?????,???????? ,496
19248,???????? ,V6,Aerita,imperial,IGLS_XV_2 349; ,,???????? ,696
